model,min_df,ngram_range,binary,cleaning_type,accuracy,classification_report,confusion_matrix,vocabulary_size
SVM,10,Unigrama,True,Nenhuma,0.83,"{'Non SCR': {'precision': 0.858085808580858, 'recall': 0.9403254972875226, 'f1-score': 0.8973252804141502, 'support': 553.0}, 'SCR': {'precision': 0.648936170212766, 'recall': 0.41496598639455784, 'f1-score': 0.5062240663900415, 'support': 147.0}, 'accuracy': 0.83, 'macro avg': {'precision': 0.7535109893968119, 'recall': 0.6776457418410402, 'f1-score': 0.7017746734020958, 'support': 700.0}, 'weighted avg': {'precision': 0.8141643845235587, 'recall': 0.83, 'f1-score': 0.8151940254690874, 'support': 700.0}}","{0: {'No-SCR': 520, 'SCR': 86}, 1: {'No-SCR': 33, 'SCR': 61}}",427
Logistic Regression (L1),10,Unigrama,True,Nenhuma,0.8385714285714285,"{'Non SCR': {'precision': 0.863036303630363, 'recall': 0.945750452079566, 'f1-score': 0.902502157031924, 'support': 553.0}, 'SCR': {'precision': 0.6808510638297872, 'recall': 0.43537414965986393, 'f1-score': 0.5311203319502075, 'support': 147.0}, 'accuracy': 0.8385714285714285, 'macro avg': {'precision': 0.771943683730075, 'recall': 0.6905623008697149, 'f1-score': 0.7168112444910657, 'support': 700.0}, 'weighted avg': {'precision': 0.8247774032722421, 'recall': 0.8385714285714285, 'f1-score': 0.8245119737647636, 'support': 700.0}}","{0: {'No-SCR': 523, 'SCR': 83}, 1: {'No-SCR': 30, 'SCR': 64}}",427
Logistic Regression (L2),10,Unigrama,True,Nenhuma,0.8328571428571429,"{'Non SCR': {'precision': 0.8633333333333333, 'recall': 0.9367088607594937, 'f1-score': 0.8985255854293148, 'support': 553.0}, 'SCR': {'precision': 0.65, 'recall': 0.4421768707482993, 'f1-score': 0.5263157894736842, 'support': 147.0}, 'accuracy': 0.8328571428571429, 'macro avg': {'precision': 0.7566666666666666, 'recall': 0.6894428657538965, 'f1-score': 0.7124206874514996, 'support': 700.0}, 'weighted avg': {'precision': 0.8185333333333332, 'recall': 0.8328571428571429, 'f1-score': 0.8203615282786325, 'support': 700.0}}","{0: {'No-SCR': 518, 'SCR': 82}, 1: {'No-SCR': 35, 'SCR': 65}}",427
Naive Bayes,10,Unigrama,True,Parcial,0.8342857142857143,"{'Non SCR': {'precision': 0.8760757314974182, 'recall': 0.9204339963833634, 'f1-score': 0.8977072310405644, 'support': 553.0}, 'SCR': {'precision': 0.6302521008403361, 'recall': 0.5102040816326531, 'f1-score': 0.5639097744360902, 'support': 147.0}, 'accuracy': 0.8342857142857143, 'macro avg': {'precision': 0.7531639161688772, 'recall': 0.7153190390080082, 'f1-score': 0.7308085027383273, 'support': 700.0}, 'weighted avg': {'precision': 0.824452769059431, 'recall': 0.8342857142857143, 'f1-score': 0.8276097651536247, 'support': 700.0}}","{0: {'No-SCR': 509, 'SCR': 72}, 1: {'No-SCR': 44, 'SCR': 75}}",427
SVM,10,Unigrama,True,Parcial,0.83,"{'Non SCR': {'precision': 0.858085808580858, 'recall': 0.9403254972875226, 'f1-score': 0.8973252804141502, 'support': 553.0}, 'SCR': {'precision': 0.648936170212766, 'recall': 0.41496598639455784, 'f1-score': 0.5062240663900415, 'support': 147.0}, 'accuracy': 0.83, 'macro avg': {'precision': 0.7535109893968119, 'recall': 0.6776457418410402, 'f1-score': 0.7017746734020958, 'support': 700.0}, 'weighted avg': {'precision': 0.8141643845235587, 'recall': 0.83, 'f1-score': 0.8151940254690874, 'support': 700.0}}","{0: {'No-SCR': 520, 'SCR': 86}, 1: {'No-SCR': 33, 'SCR': 61}}",427
Logistic Regression (L1),10,Unigrama,True,Parcial,0.8385714285714285,"{'Non SCR': {'precision': 0.863036303630363, 'recall': 0.945750452079566, 'f1-score': 0.902502157031924, 'support': 553.0}, 'SCR': {'precision': 0.6808510638297872, 'recall': 0.43537414965986393, 'f1-score': 0.5311203319502075, 'support': 147.0}, 'accuracy': 0.8385714285714285, 'macro avg': {'precision': 0.771943683730075, 'recall': 0.6905623008697149, 'f1-score': 0.7168112444910657, 'support': 700.0}, 'weighted avg': {'precision': 0.8247774032722421, 'recall': 0.8385714285714285, 'f1-score': 0.8245119737647636, 'support': 700.0}}","{0: {'No-SCR': 523, 'SCR': 83}, 1: {'No-SCR': 30, 'SCR': 64}}",427
Logistic Regression (L2),10,Unigrama,True,Parcial,0.8328571428571429,"{'Non SCR': {'precision': 0.8633333333333333, 'recall': 0.9367088607594937, 'f1-score': 0.8985255854293148, 'support': 553.0}, 'SCR': {'precision': 0.65, 'recall': 0.4421768707482993, 'f1-score': 0.5263157894736842, 'support': 147.0}, 'accuracy': 0.8328571428571429, 'macro avg': {'precision': 0.7566666666666666, 'recall': 0.6894428657538965, 'f1-score': 0.7124206874514996, 'support': 700.0}, 'weighted avg': {'precision': 0.8185333333333332, 'recall': 0.8328571428571429, 'f1-score': 0.8203615282786325, 'support': 700.0}}","{0: {'No-SCR': 518, 'SCR': 82}, 1: {'No-SCR': 35, 'SCR': 65}}",427
Naive Bayes,10,Unigrama,True,Total,0.8328571428571429,"{'Non SCR': {'precision': 0.867003367003367, 'recall': 0.9312839059674503, 'f1-score': 0.8979947689625108, 'support': 553.0}, 'SCR': {'precision': 0.6415094339622641, 'recall': 0.46258503401360546, 'f1-score': 0.5375494071146245, 'support': 147.0}, 'accuracy': 0.8328571428571429, 'macro avg': {'precision': 0.7542564004828156, 'recall': 0.6969344699905279, 'f1-score': 0.7177720880385676, 'support': 700.0}, 'weighted avg': {'precision': 0.8196496410647355, 'recall': 0.8328571428571429, 'f1-score': 0.8223012429744546, 'support': 700.0}}","{0: {'No-SCR': 515, 'SCR': 79}, 1: {'No-SCR': 38, 'SCR': 68}}",330
SVM,10,Unigrama,True,Total,0.8228571428571428,"{'Non SCR': {'precision': 0.8454106280193237, 'recall': 0.9493670886075949, 'f1-score': 0.8943781942078365, 'support': 553.0}, 'SCR': {'precision': 0.6455696202531646, 'recall': 0.3469387755102041, 'f1-score': 0.45132743362831856, 'support': 147.0}, 'accuracy': 0.8228571428571428, 'macro avg': {'precision': 0.7454901241362442, 'recall': 0.6481529320588995, 'f1-score': 0.6728528139180775, 'support': 700.0}, 'weighted avg': {'precision': 0.8034440163884302, 'recall': 0.8228571428571428, 'f1-score': 0.8013375344861378, 'support': 700.0}}","{0: {'No-SCR': 525, 'SCR': 96}, 1: {'No-SCR': 28, 'SCR': 51}}",330
Logistic Regression (L1),10,Unigrama,True,Total,0.8328571428571429,"{'Non SCR': {'precision': 0.8527508090614887, 'recall': 0.9529837251356239, 'f1-score': 0.9000853970964987, 'support': 553.0}, 'SCR': {'precision': 0.6829268292682927, 'recall': 0.38095238095238093, 'f1-score': 0.4890829694323144, 'support': 147.0}, 'accuracy': 0.8328571428571429, 'macro avg': {'precision': 0.7678388191648907, 'recall': 0.6669680530440024, 'f1-score': 0.6945841832644065, 'support': 700.0}, 'weighted avg': {'precision': 0.8170877733049176, 'recall': 0.8328571428571429, 'f1-score': 0.8137748872870201, 'support': 700.0}}","{0: {'No-SCR': 527, 'SCR': 91}, 1: {'No-SCR': 26, 'SCR': 56}}",330
Logistic Regression (L2),10,Unigrama,True,Total,0.83,"{'Non SCR': {'precision': 0.8545751633986928, 'recall': 0.945750452079566, 'f1-score': 0.8978540772532189, 'support': 553.0}, 'SCR': {'precision': 0.6590909090909091, 'recall': 0.3945578231292517, 'f1-score': 0.49361702127659574, 'support': 147.0}, 'accuracy': 0.83, 'macro avg': {'precision': 0.7568330362448009, 'recall': 0.6701541376044089, 'f1-score': 0.6957355492649073, 'support': 700.0}, 'weighted avg': {'precision': 0.8135234699940581, 'recall': 0.83, 'f1-score': 0.812964295498128, 'support': 700.0}}","{0: {'No-SCR': 523, 'SCR': 89}, 1: {'No-SCR': 30, 'SCR': 58}}",330
Naive Bayes,10,Unigrama,False,Nenhuma,0.8314285714285714,"{'Non SCR': {'precision': 0.8822495606326889, 'recall': 0.9077757685352622, 'f1-score': 0.8948306595365418, 'support': 553.0}, 'SCR': {'precision': 0.6106870229007634, 'recall': 0.54421768707483, 'f1-score': 0.5755395683453237, 'support': 147.0}, 'accuracy': 0.8314285714285714, 'macro avg': {'precision': 0.7464682917667261, 'recall': 0.7259967278050461, 'f1-score': 0.7351851139409328, 'support': 700.0}, 'weighted avg': {'precision': 0.8252214277089845, 'recall': 0.8314285714285714, 'f1-score': 0.8277795303863861, 'support': 700.0}}","{0: {'No-SCR': 502, 'SCR': 67}, 1: {'No-SCR': 51, 'SCR': 80}}",427
SVM,10,Unigrama,False,Nenhuma,0.8228571428571428,"{'Non SCR': {'precision': 0.851063829787234, 'recall': 0.9403254972875226, 'f1-score': 0.8934707903780069, 'support': 553.0}, 'SCR': {'precision': 0.6292134831460674, 'recall': 0.38095238095238093, 'f1-score': 0.4745762711864407, 'support': 147.0}, 'accuracy': 0.8228571428571428, 'macro avg': {'precision': 0.7401386564666508, 'recall': 0.6606389391199518, 'f1-score': 0.6840235307822238, 'support': 700.0}, 'weighted avg': {'precision': 0.804475256992589, 'recall': 0.8228571428571428, 'f1-score': 0.805502941347778, 'support': 700.0}}","{0: {'No-SCR': 520, 'SCR': 91}, 1: {'No-SCR': 33, 'SCR': 56}}",427
Logistic Regression (L1),10,Unigrama,False,Nenhuma,0.84,"{'Non SCR': {'precision': 0.8597063621533442, 'recall': 0.9529837251356239, 'f1-score': 0.9039451114922813, 'support': 553.0}, 'SCR': {'precision': 0.7011494252873564, 'recall': 0.41496598639455784, 'f1-score': 0.5213675213675214, 'support': 147.0}, 'accuracy': 0.84, 'macro avg': {'precision': 0.7804278937203503, 'recall': 0.6839748557650909, 'f1-score': 0.7126563164299013, 'support': 700.0}, 'weighted avg': {'precision': 0.8264094054114867, 'recall': 0.84, 'f1-score': 0.8236038175660818, 'support': 700.0}}","{0: {'No-SCR': 527, 'SCR': 86}, 1: {'No-SCR': 26, 'SCR': 61}}",427
Logistic Regression (L2),10,Unigrama,False,Nenhuma,0.8357142857142857,"{'Non SCR': {'precision': 0.8637873754152824, 'recall': 0.9403254972875226, 'f1-score': 0.9004329004329005, 'support': 553.0}, 'SCR': {'precision': 0.6632653061224489, 'recall': 0.4421768707482993, 'f1-score': 0.5306122448979592, 'support': 147.0}, 'accuracy': 0.8357142857142857, 'macro avg': {'precision': 0.7635263407688657, 'recall': 0.691251184017911, 'f1-score': 0.7155225726654298, 'support': 700.0}, 'weighted avg': {'precision': 0.8216777408637875, 'recall': 0.8357142857142857, 'f1-score': 0.8227705627705628, 'support': 700.0}}","{0: {'No-SCR': 520, 'SCR': 82}, 1: {'No-SCR': 33, 'SCR': 65}}",427
Naive Bayes,10,Unigrama,False,Parcial,0.8314285714285714,"{'Non SCR': {'precision': 0.8822495606326889, 'recall': 0.9077757685352622, 'f1-score': 0.8948306595365418, 'support': 553.0}, 'SCR': {'precision': 0.6106870229007634, 'recall': 0.54421768707483, 'f1-score': 0.5755395683453237, 'support': 147.0}, 'accuracy': 0.8314285714285714, 'macro avg': {'precision': 0.7464682917667261, 'recall': 0.7259967278050461, 'f1-score': 0.7351851139409328, 'support': 700.0}, 'weighted avg': {'precision': 0.8252214277089845, 'recall': 0.8314285714285714, 'f1-score': 0.8277795303863861, 'support': 700.0}}","{0: {'No-SCR': 502, 'SCR': 67}, 1: {'No-SCR': 51, 'SCR': 80}}",427
SVM,10,Unigrama,False,Parcial,0.8228571428571428,"{'Non SCR': {'precision': 0.851063829787234, 'recall': 0.9403254972875226, 'f1-score': 0.8934707903780069, 'support': 553.0}, 'SCR': {'precision': 0.6292134831460674, 'recall': 0.38095238095238093, 'f1-score': 0.4745762711864407, 'support': 147.0}, 'accuracy': 0.8228571428571428, 'macro avg': {'precision': 0.7401386564666508, 'recall': 0.6606389391199518, 'f1-score': 0.6840235307822238, 'support': 700.0}, 'weighted avg': {'precision': 0.804475256992589, 'recall': 0.8228571428571428, 'f1-score': 0.805502941347778, 'support': 700.0}}","{0: {'No-SCR': 520, 'SCR': 91}, 1: {'No-SCR': 33, 'SCR': 56}}",427
Logistic Regression (L1),10,Unigrama,False,Parcial,0.84,"{'Non SCR': {'precision': 0.8597063621533442, 'recall': 0.9529837251356239, 'f1-score': 0.9039451114922813, 'support': 553.0}, 'SCR': {'precision': 0.7011494252873564, 'recall': 0.41496598639455784, 'f1-score': 0.5213675213675214, 'support': 147.0}, 'accuracy': 0.84, 'macro avg': {'precision': 0.7804278937203503, 'recall': 0.6839748557650909, 'f1-score': 0.7126563164299013, 'support': 700.0}, 'weighted avg': {'precision': 0.8264094054114867, 'recall': 0.84, 'f1-score': 0.8236038175660818, 'support': 700.0}}","{0: {'No-SCR': 527, 'SCR': 86}, 1: {'No-SCR': 26, 'SCR': 61}}",427
Logistic Regression (L2),10,Unigrama,False,Parcial,0.8357142857142857,"{'Non SCR': {'precision': 0.8637873754152824, 'recall': 0.9403254972875226, 'f1-score': 0.9004329004329005, 'support': 553.0}, 'SCR': {'precision': 0.6632653061224489, 'recall': 0.4421768707482993, 'f1-score': 0.5306122448979592, 'support': 147.0}, 'accuracy': 0.8357142857142857, 'macro avg': {'precision': 0.7635263407688657, 'recall': 0.691251184017911, 'f1-score': 0.7155225726654298, 'support': 700.0}, 'weighted avg': {'precision': 0.8216777408637875, 'recall': 0.8357142857142857, 'f1-score': 0.8227705627705628, 'support': 700.0}}","{0: {'No-SCR': 520, 'SCR': 82}, 1: {'No-SCR': 33, 'SCR': 65}}",427
Naive Bayes,10,Unigrama,False,Total,0.8371428571428572,"{'Non SCR': {'precision': 0.8726655348047538, 'recall': 0.9294755877034359, 'f1-score': 0.9001751313485113, 'support': 553.0}, 'SCR': {'precision': 0.6486486486486487, 'recall': 0.4897959183673469, 'f1-score': 0.5581395348837209, 'support': 147.0}, 'accuracy': 0.8371428571428572, 'macro avg': {'precision': 0.7606570917267013, 'recall': 0.7096357530353914, 'f1-score': 0.7291573331161161, 'support': 700.0}, 'weighted avg': {'precision': 0.8256219887119718, 'recall': 0.8371428571428572, 'f1-score': 0.8283476560909053, 'support': 700.0}}","{0: {'No-SCR': 514, 'SCR': 75}, 1: {'No-SCR': 39, 'SCR': 72}}",330
SVM,10,Unigrama,False,Total,0.8257142857142857,"{'Non SCR': {'precision': 0.8527004909983633, 'recall': 0.9421338155515371, 'f1-score': 0.8951890034364262, 'support': 553.0}, 'SCR': {'precision': 0.6404494382022472, 'recall': 0.3877551020408163, 'f1-score': 0.4830508474576271, 'support': 147.0}, 'accuracy': 0.8257142857142857, 'macro avg': {'precision': 0.7465749646003053, 'recall': 0.6649444587961767, 'f1-score': 0.6891199254470266, 'support': 700.0}, 'weighted avg': {'precision': 0.8081277699111789, 'recall': 0.8257142857142857, 'f1-score': 0.8086399906808783, 'support': 700.0}}","{0: {'No-SCR': 521, 'SCR': 90}, 1: {'No-SCR': 32, 'SCR': 57}}",330
Logistic Regression (L1),10,Unigrama,False,Total,0.8342857142857143,"{'Non SCR': {'precision': 0.8518518518518519, 'recall': 0.9566003616636528, 'f1-score': 0.9011925042589438, 'support': 553.0}, 'SCR': {'precision': 0.6962025316455697, 'recall': 0.3741496598639456, 'f1-score': 0.48672566371681414, 'support': 147.0}, 'accuracy': 0.8342857142857143, 'macro avg': {'precision': 0.7740271917487107, 'recall': 0.6653750107637992, 'f1-score': 0.693959083987879, 'support': 700.0}, 'weighted avg': {'precision': 0.8191654946085326, 'recall': 0.8342857142857143, 'f1-score': 0.8141544677450965, 'support': 700.0}}","{0: {'No-SCR': 529, 'SCR': 92}, 1: {'No-SCR': 24, 'SCR': 55}}",330
Logistic Regression (L2),10,Unigrama,False,Total,0.8314285714285714,"{'Non SCR': {'precision': 0.855973813420622, 'recall': 0.945750452079566, 'f1-score': 0.8986254295532646, 'support': 553.0}, 'SCR': {'precision': 0.6629213483146067, 'recall': 0.4013605442176871, 'f1-score': 0.5, 'support': 147.0}, 'accuracy': 0.8314285714285714, 'macro avg': {'precision': 0.7594475808676143, 'recall': 0.6735554981486265, 'f1-score': 0.6993127147766323, 'support': 700.0}, 'weighted avg': {'precision': 0.8154327957483588, 'recall': 0.8314285714285714, 'f1-score': 0.814914089347079, 'support': 700.0}}","{0: {'No-SCR': 523, 'SCR': 88}, 1: {'No-SCR': 30, 'SCR': 59}}",330
Naive Bayes,10,Unigrama + Bigrama,True,Nenhuma,0.8285714285714286,"{'Non SCR': {'precision': 0.8831858407079646, 'recall': 0.9023508137432188, 'f1-score': 0.8926654740608229, 'support': 553.0}, 'SCR': {'precision': 0.6, 'recall': 0.5510204081632653, 'f1-score': 0.574468085106383, 'support': 147.0}, 'accuracy': 0.8285714285714286, 'macro avg': {'precision': 0.7415929203539823, 'recall': 0.726685610953242, 'f1-score': 0.733566779583603, 'support': 700.0}, 'weighted avg': {'precision': 0.8237168141592921, 'recall': 0.8285714285714286, 'f1-score': 0.8258440223803905, 'support': 700.0}}","{0: {'No-SCR': 499, 'SCR': 66}, 1: {'No-SCR': 54, 'SCR': 81}}",607
SVM,10,Unigrama + Bigrama,True,Nenhuma,0.8371428571428572,"{'Non SCR': {'precision': 0.8569105691056911, 'recall': 0.9529837251356239, 'f1-score': 0.9023972602739726, 'support': 553.0}, 'SCR': {'precision': 0.6941176470588235, 'recall': 0.4013605442176871, 'f1-score': 0.5086206896551724, 'support': 147.0}, 'accuracy': 0.8371428571428572, 'macro avg': {'precision': 0.7755141080822573, 'recall': 0.6771721346766555, 'f1-score': 0.7055089749645724, 'support': 700.0}, 'weighted avg': {'precision': 0.8227240554758488, 'recall': 0.8371428571428572, 'f1-score': 0.8197041804440245, 'support': 700.0}}","{0: {'No-SCR': 527, 'SCR': 88}, 1: {'No-SCR': 26, 'SCR': 59}}",607
Logistic Regression (L1),10,Unigrama + Bigrama,True,Nenhuma,0.8414285714285714,"{'Non SCR': {'precision': 0.8658940397350994, 'recall': 0.945750452079566, 'f1-score': 0.9040622299049266, 'support': 553.0}, 'SCR': {'precision': 0.6875, 'recall': 0.4489795918367347, 'f1-score': 0.5432098765432098, 'support': 147.0}, 'accuracy': 0.8414285714285714, 'macro avg': {'precision': 0.7766970198675497, 'recall': 0.6973650219581503, 'f1-score': 0.7236360532240682, 'support': 700.0}, 'weighted avg': {'precision': 0.8284312913907285, 'recall': 0.8414285714285714, 'f1-score': 0.8282832356989661, 'support': 700.0}}","{0: {'No-SCR': 523, 'SCR': 81}, 1: {'No-SCR': 30, 'SCR': 66}}",607
Logistic Regression (L2),10,Unigrama + Bigrama,True,Nenhuma,0.8414285714285714,"{'Non SCR': {'precision': 0.8695652173913043, 'recall': 0.9403254972875226, 'f1-score': 0.9035621198957429, 'support': 553.0}, 'SCR': {'precision': 0.6764705882352942, 'recall': 0.46938775510204084, 'f1-score': 0.5542168674698795, 'support': 147.0}, 'accuracy': 0.8414285714285714, 'macro avg': {'precision': 0.7730179028132993, 'recall': 0.7048566261947817, 'f1-score': 0.7288894936828112, 'support': 700.0}, 'weighted avg': {'precision': 0.8290153452685423, 'recall': 0.8414285714285714, 'f1-score': 0.8301996168863116, 'support': 700.0}}","{0: {'No-SCR': 520, 'SCR': 78}, 1: {'No-SCR': 33, 'SCR': 69}}",607
Naive Bayes,10,Unigrama + Bigrama,True,Parcial,0.8285714285714286,"{'Non SCR': {'precision': 0.8831858407079646, 'recall': 0.9023508137432188, 'f1-score': 0.8926654740608229, 'support': 553.0}, 'SCR': {'precision': 0.6, 'recall': 0.5510204081632653, 'f1-score': 0.574468085106383, 'support': 147.0}, 'accuracy': 0.8285714285714286, 'macro avg': {'precision': 0.7415929203539823, 'recall': 0.726685610953242, 'f1-score': 0.733566779583603, 'support': 700.0}, 'weighted avg': {'precision': 0.8237168141592921, 'recall': 0.8285714285714286, 'f1-score': 0.8258440223803905, 'support': 700.0}}","{0: {'No-SCR': 499, 'SCR': 66}, 1: {'No-SCR': 54, 'SCR': 81}}",607
SVM,10,Unigrama + Bigrama,True,Parcial,0.8371428571428572,"{'Non SCR': {'precision': 0.8569105691056911, 'recall': 0.9529837251356239, 'f1-score': 0.9023972602739726, 'support': 553.0}, 'SCR': {'precision': 0.6941176470588235, 'recall': 0.4013605442176871, 'f1-score': 0.5086206896551724, 'support': 147.0}, 'accuracy': 0.8371428571428572, 'macro avg': {'precision': 0.7755141080822573, 'recall': 0.6771721346766555, 'f1-score': 0.7055089749645724, 'support': 700.0}, 'weighted avg': {'precision': 0.8227240554758488, 'recall': 0.8371428571428572, 'f1-score': 0.8197041804440245, 'support': 700.0}}","{0: {'No-SCR': 527, 'SCR': 88}, 1: {'No-SCR': 26, 'SCR': 59}}",607
Logistic Regression (L1),10,Unigrama + Bigrama,True,Parcial,0.8414285714285714,"{'Non SCR': {'precision': 0.8658940397350994, 'recall': 0.945750452079566, 'f1-score': 0.9040622299049266, 'support': 553.0}, 'SCR': {'precision': 0.6875, 'recall': 0.4489795918367347, 'f1-score': 0.5432098765432098, 'support': 147.0}, 'accuracy': 0.8414285714285714, 'macro avg': {'precision': 0.7766970198675497, 'recall': 0.6973650219581503, 'f1-score': 0.7236360532240682, 'support': 700.0}, 'weighted avg': {'precision': 0.8284312913907285, 'recall': 0.8414285714285714, 'f1-score': 0.8282832356989661, 'support': 700.0}}","{0: {'No-SCR': 523, 'SCR': 81}, 1: {'No-SCR': 30, 'SCR': 66}}",607
Logistic Regression (L2),10,Unigrama + Bigrama,True,Parcial,0.8414285714285714,"{'Non SCR': {'precision': 0.8695652173913043, 'recall': 0.9403254972875226, 'f1-score': 0.9035621198957429, 'support': 553.0}, 'SCR': {'precision': 0.6764705882352942, 'recall': 0.46938775510204084, 'f1-score': 0.5542168674698795, 'support': 147.0}, 'accuracy': 0.8414285714285714, 'macro avg': {'precision': 0.7730179028132993, 'recall': 0.7048566261947817, 'f1-score': 0.7288894936828112, 'support': 700.0}, 'weighted avg': {'precision': 0.8290153452685423, 'recall': 0.8414285714285714, 'f1-score': 0.8301996168863116, 'support': 700.0}}","{0: {'No-SCR': 520, 'SCR': 78}, 1: {'No-SCR': 33, 'SCR': 69}}",607
Naive Bayes,10,Unigrama + Bigrama,True,Total,0.83,"{'Non SCR': {'precision': 0.8715753424657534, 'recall': 0.9204339963833634, 'f1-score': 0.8953386103781882, 'support': 553.0}, 'SCR': {'precision': 0.6206896551724138, 'recall': 0.4897959183673469, 'f1-score': 0.5475285171102662, 'support': 147.0}, 'accuracy': 0.83, 'macro avg': {'precision': 0.7461324988190836, 'recall': 0.7051149573753552, 'f1-score': 0.7214335637442272, 'support': 700.0}, 'weighted avg': {'precision': 0.818889348134152, 'recall': 0.83, 'f1-score': 0.8222984907919246, 'support': 700.0}}","{0: {'No-SCR': 509, 'SCR': 75}, 1: {'No-SCR': 44, 'SCR': 72}}",348
SVM,10,Unigrama + Bigrama,True,Total,0.8271428571428572,"{'Non SCR': {'precision': 0.8461538461538461, 'recall': 0.9547920433996383, 'f1-score': 0.897196261682243, 'support': 553.0}, 'SCR': {'precision': 0.6710526315789473, 'recall': 0.3469387755102041, 'f1-score': 0.45739910313901344, 'support': 147.0}, 'accuracy': 0.8271428571428572, 'macro avg': {'precision': 0.7586032388663968, 'recall': 0.6508654094549212, 'f1-score': 0.6772976824106283, 'support': 700.0}, 'weighted avg': {'precision': 0.8093825910931173, 'recall': 0.8271428571428572, 'f1-score': 0.8048388583881647, 'support': 700.0}}","{0: {'No-SCR': 528, 'SCR': 96}, 1: {'No-SCR': 25, 'SCR': 51}}",348
Logistic Regression (L1),10,Unigrama + Bigrama,True,Total,0.8328571428571429,"{'Non SCR': {'precision': 0.8527508090614887, 'recall': 0.9529837251356239, 'f1-score': 0.9000853970964987, 'support': 553.0}, 'SCR': {'precision': 0.6829268292682927, 'recall': 0.38095238095238093, 'f1-score': 0.4890829694323144, 'support': 147.0}, 'accuracy': 0.8328571428571429, 'macro avg': {'precision': 0.7678388191648907, 'recall': 0.6669680530440024, 'f1-score': 0.6945841832644065, 'support': 700.0}, 'weighted avg': {'precision': 0.8170877733049176, 'recall': 0.8328571428571429, 'f1-score': 0.8137748872870201, 'support': 700.0}}","{0: {'No-SCR': 527, 'SCR': 91}, 1: {'No-SCR': 26, 'SCR': 56}}",348
Logistic Regression (L2),10,Unigrama + Bigrama,True,Total,0.8314285714285714,"{'Non SCR': {'precision': 0.8548123980424144, 'recall': 0.9475587703435805, 'f1-score': 0.8987993138936535, 'support': 553.0}, 'SCR': {'precision': 0.6666666666666666, 'recall': 0.3945578231292517, 'f1-score': 0.49572649572649574, 'support': 147.0}, 'accuracy': 0.8314285714285714, 'macro avg': {'precision': 0.7607395323545405, 'recall': 0.671058296736416, 'f1-score': 0.6972629048100747, 'support': 700.0}, 'weighted avg': {'precision': 0.8153017944535074, 'recall': 0.8314285714285714, 'f1-score': 0.8141540220785505, 'support': 700.0}}","{0: {'No-SCR': 524, 'SCR': 89}, 1: {'No-SCR': 29, 'SCR': 58}}",348
Naive Bayes,10,Unigrama + Bigrama,False,Nenhuma,0.82,"{'Non SCR': {'precision': 0.8805704099821747, 'recall': 0.8933092224231465, 'f1-score': 0.8868940754039497, 'support': 553.0}, 'SCR': {'precision': 0.5755395683453237, 'recall': 0.54421768707483, 'f1-score': 0.5594405594405595, 'support': 147.0}, 'accuracy': 0.82, 'macro avg': {'precision': 0.7280549891637492, 'recall': 0.7187634547489883, 'f1-score': 0.7231673174222546, 'support': 700.0}, 'weighted avg': {'precision': 0.816513933238436, 'recall': 0.82, 'f1-score': 0.8181288370516379, 'support': 700.0}}","{0: {'No-SCR': 494, 'SCR': 67}, 1: {'No-SCR': 59, 'SCR': 80}}",607
SVM,10,Unigrama + Bigrama,False,Nenhuma,0.8285714285714286,"{'Non SCR': {'precision': 0.8486312399355878, 'recall': 0.9529837251356239, 'f1-score': 0.8977853492333902, 'support': 553.0}, 'SCR': {'precision': 0.6708860759493671, 'recall': 0.36054421768707484, 'f1-score': 0.4690265486725664, 'support': 147.0}, 'accuracy': 0.8285714285714286, 'macro avg': {'precision': 0.7597586579424774, 'recall': 0.6567639714113493, 'f1-score': 0.6834059489529782, 'support': 700.0}, 'weighted avg': {'precision': 0.8113047554984815, 'recall': 0.8285714285714286, 'f1-score': 0.8077460011156172, 'support': 700.0}}","{0: {'No-SCR': 527, 'SCR': 94}, 1: {'No-SCR': 26, 'SCR': 53}}",607
Logistic Regression (L1),10,Unigrama + Bigrama,False,Nenhuma,0.8442857142857143,"{'Non SCR': {'precision': 0.8639344262295082, 'recall': 0.9529837251356239, 'f1-score': 0.9062768701633706, 'support': 553.0}, 'SCR': {'precision': 0.7111111111111111, 'recall': 0.43537414965986393, 'f1-score': 0.540084388185654, 'support': 147.0}, 'accuracy': 0.8442857142857143, 'macro avg': {'precision': 0.7875227686703097, 'recall': 0.694178937397744, 'f1-score': 0.7231806291745122, 'support': 700.0}, 'weighted avg': {'precision': 0.8318415300546448, 'recall': 0.8442857142857143, 'f1-score': 0.8293764489480501, 'support': 700.0}}","{0: {'No-SCR': 527, 'SCR': 83}, 1: {'No-SCR': 26, 'SCR': 64}}",607
Logistic Regression (L2),10,Unigrama + Bigrama,False,Nenhuma,0.84,"{'Non SCR': {'precision': 0.8620689655172413, 'recall': 0.9493670886075949, 'f1-score': 0.9036144578313253, 'support': 553.0}, 'SCR': {'precision': 0.6923076923076923, 'recall': 0.42857142857142855, 'f1-score': 0.5294117647058824, 'support': 147.0}, 'accuracy': 0.84, 'macro avg': {'precision': 0.7771883289124668, 'recall': 0.6889692585895117, 'f1-score': 0.7165131112686038, 'support': 700.0}, 'weighted avg': {'precision': 0.8264190981432361, 'recall': 0.84, 'f1-score': 0.8250318922749823, 'support': 700.0}}","{0: {'No-SCR': 525, 'SCR': 84}, 1: {'No-SCR': 28, 'SCR': 63}}",607
